nctId,facility,city,state,extracted_score
NCT02695303,N/A,Union,New Jersey,Not Specified
NCT02815202,N/A,Union,New Jersey,Not Specified
NCT02930772,N/A,Union,New Jersey,Not Specified
NCT02822300,N/A,Union,New Jersey,Not Specified
NCT02995109,N/A,Union,New Jersey,Not Specified
NCT02822339,N/A,Union,New Jersey,Not Specified
NCT02760563,N/A,Union,New Jersey,Not Specified
NCT02741466,N/A,Union,New Jersey,Not Specified
NCT02739802,N/A,Union,New Jersey,Not Specified
NCT02801929,N/A,Union,New Jersey,Not Specified
NCT02936557,N/A,Union,New Jersey,Not Specified
NCT02815228,N/A,Union,New Jersey,Not Specified
NCT02994992,N/A,Union,New Jersey,Not Specified
NCT02891044,N/A,Union,New Jersey,Not Specified
NCT02995031,N/A,Union,New Jersey,Not Specified
NCT02995148,N/A,Union,New Jersey,Not Specified
NCT02776852,N/A,Union,New Jersey,Not Specified
NCT02803099,N/A,Union,New Jersey,Not Specified
NCT02936544,N/A,Union,New Jersey,Not Specified
NCT02760576,N/A,Union,New Jersey,Not Specified
NCT02930746,N/A,Union,New Jersey,Not Specified
NCT02822274,N/A,Union,New Jersey,Not Specified
NCT02930785,N/A,Union,New Jersey,Not Specified
NCT02995135,N/A,Union,New Jersey,Not Specified
NCT02815241,N/A,Union,New Jersey,Not Specified
NCT02779829,N/A,Union,New Jersey,Not Specified
NCT02936583,N/A,Union,New Jersey,Not Specified
NCT02930798,N/A,Union,New Jersey,Not Specified
NCT02825030,N/A,Union,New Jersey,Not Specified
NCT02776501,N/A,Union,New Jersey,Not Specified
NCT02995161,N/A,Union,New Jersey,Not Specified
NCT02803021,N/A,Union,New Jersey,Not Specified
NCT02757014,N/A,Union,New Jersey,Not Specified
NCT02825017,N/A,Union,New Jersey,Not Specified
NCT02756988,N/A,Union,New Jersey,Not Specified
NCT02779842,N/A,Union,New Jersey,Not Specified
NCT02930759,N/A,Union,New Jersey,Not Specified
NCT05602337,UPMC,Pittsburgh,Pennsylvania,Not Specified
NCT02995044,N/A,Union,New Jersey,Not Specified
NCT02823509,N/A,Union,New Jersey,Not Specified
NCT02803008,N/A,Union,New Jersey,Not Specified
NCT02803047,N/A,Union,New Jersey,Not Specified
NCT02891057,N/A,Union,New Jersey,Not Specified
NCT02717325,N/A,Union,New Jersey,Not Specified
NCT02822313,N/A,Union,New Jersey,Not Specified
NCT02995122,N/A,Union,New Jersey,Not Specified
NCT02788162,N/A,Union,New Jersey,Not Specified
NCT02774252,N/A,Union,New Jersey,Not Specified
NCT02936570,N/A,Union,New Jersey,Not Specified
NCT02995018,N/A,Union,New Jersey,Not Specified
NCT02803034,N/A,Union,New Jersey,Not Specified
NCT02682628,N/A,Union,New Jersey,Not Specified
NCT02803060,N/A,Union,New Jersey,Not Specified
NCT02822261,N/A,Union,New Jersey,Not Specified
NCT02717351,N/A,Union,New Jersey,Not Specified
NCT02822248,N/A,Union,New Jersey,Not Specified
